Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars	RateDiff
2025-09-14 21:22:53 UTC	UFA 2025	TOP 8	Grand Final	3935651	3757151	3	0	Ed	Blanka	18
2025-09-14 21:09:53 UTC	UFA 2025	TOP 8	Losers Final	3757151	4143648	3	1	Blanka	Ryu	16
2025-09-14 20:56:23 UTC	UFA 2025	TOP 8	Losers Semi-Final	4143648	160464	3	0	Ryu	Terry	18
2025-09-14 20:35:52 UTC	UFA 2025	TOP 8	Winners Final	3935651	3757151	3	1	Ed	Blanka	14
2025-09-14 20:23:44 UTC	UFA 2025	TOP 8	Losers Quarter-Final	160464	1816209	3	1	Terry	Luke	16
2025-09-14 20:16:11 UTC	UFA 2025	TOP 8	Winners Semi-Final	3935651	157225	3	2	Ed	Juri	9
2025-09-14 20:14:24 UTC	UFA 2025	TOP 8	Winners Semi-Final	3757151	160464	3	1	Blanka	Terry	16
2025-09-14 20:13:00 UTC	UFA 2025	TOP 8	Losers Round 1	1816209	349616	3	2	Luke	A.K.I.	10
2025-09-14 20:12:41 UTC	UFA 2025	TOP 8	Losers Round 1	4143648	3310490	3	0	Ryu	JP	17
2025-09-14 20:12:11 UTC	UFA 2025	TOP 8	Losers Quarter-Final	4143648	157225	3	1	Ryu	Juri	14
2025-09-14 17:24:01 UTC	UFA 2025	TOP 16	Losers Round 2	3310490	2151987	2	1	JP	Ryu	10
2025-09-14 17:11:44 UTC	UFA 2025	TOP 16	Losers Round 2	4143648	237340	2	0	Ryu	Cammy	14
2025-09-14 17:03:17 UTC	UFA 2025	TOP 16	Losers Round 2	1816209	2025508	2	1	Luke	JP	10
2025-09-14 16:52:13 UTC	UFA 2025	TOP 16	Losers Round 2	349616	358562	2	0	A.K.I.	Ken	15
2025-09-14 16:36:57 UTC	UFA 2025	TOP 16	Losers Round 1	2151987	632437	2	1	Ryu	Guile	10
2025-09-14 16:23:44 UTC	UFA 2025	TOP 16	Losers Round 1	237340	214100	2	0	Cammy	Terry	16
2025-09-14 16:13:05 UTC	UFA 2025	TOP 16	Losers Round 1	2025508	699782	2	1	JP	Mai	10
2025-09-14 15:57:21 UTC	UFA 2025	TOP 16	Losers Round 1	358562	141329	2	0	Ken	Rashid	16
2025-09-14 15:41:27 UTC	UFA 2025	TOP 16	Winners Quarter-Final	157225	349616	2	0	Juri	A.K.I.	16
2025-09-14 15:31:53 UTC	UFA 2025	TOP 16	Winners Quarter-Final	3935651	1816209	2	1	Ed	Luke	9
